n:1 Y:0.777972 U:0.995644 V:0.931758 All:0.839882 (7.955596)
n:2 Y:0.777637 U:0.995392 V:0.932110 All:0.839675 (7.949995)
n:3 Y:0.736929 U:0.977373 V:0.973633 All:0.816454 (7.362551)
n:4 Y:0.737275 U:0.977268 V:0.973469 All:0.816639 (7.366936)
n:5 Y:0.809843 U:0.987606 V:0.984514 All:0.868582 (8.813459)
n:6 Y:0.814428 U:0.988608 V:0.985130 All:0.871908 (8.924784)
n:7 Y:0.801347 U:0.997103 V:0.933473 All:0.855994 (8.416190)
n:8 Y:0.802282 U:0.997103 V:0.933473 All:0.856618 (8.435044)
n:9 Y:0.800830 U:0.997059 V:0.932816 All:0.855532 (8.402290)
n:10 Y:0.800575 U:0.997046 V:0.932810 All:0.855359 (8.397097)
n:11 Y:0.800590 U:0.997056 V:0.932812 All:0.855372 (8.397462)
n:12 Y:0.800575 U:0.997056 V:0.932812 All:0.855361 (8.397149)
n:13 Y:0.800575 U:0.997056 V:0.932812 All:0.855361 (8.397149)
n:14 Y:0.800407 U:0.997051 V:0.932803 All:0.855247 (8.393723)
n:15 Y:0.799942 U:0.997051 V:0.932825 All:0.854941 (8.384551)
n:16 Y:0.800094 U:0.997033 V:0.932852 All:0.855043 (8.387621)
n:17 Y:0.799534 U:0.996762 V:0.930501 All:0.854233 (8.363417)
n:18 Y:0.985892 U:0.998337 V:0.992385 All:0.989048 (19.605127)
n:19 Y:0.986349 U:0.998378 V:0.992406 All:0.989363 (19.731924)
n:20 Y:0.985833 U:0.998375 V:0.992405 All:0.989019 (19.593480)
n:21 Y:0.987373 U:0.998377 V:0.992406 All:0.990046 (20.020014)
n:22 Y:0.985903 U:0.998374 V:0.992404 All:0.989065 (19.611925)
n:23 Y:0.986125 U:0.998366 V:0.992369 All:0.989206 (19.668198)
n:24 Y:0.998098 U:0.998463 V:0.999254 All:0.998352 (27.829623)
n:25 Y:0.827062 U:0.996665 V:0.994096 All:0.883168 (9.324398)
n:26 Y:0.827985 U:0.996585 V:0.993849 All:0.883729 (9.345301)
n:27 Y:0.826645 U:0.996576 V:0.993890 All:0.882841 (9.312245)
n:28 Y:0.826054 U:0.996571 V:0.993864 All:0.882442 (9.297476)
n:29 Y:0.814830 U:0.996455 V:0.976321 All:0.872016 (8.928454)
n:30 Y:0.877929 U:0.997062 V:0.993882 All:0.917110 (10.814994)
n:31 Y:0.583300 U:0.991793 V:0.982280 All:0.717879 (5.495638)
n:32 Y:0.588182 U:0.991519 V:0.982335 All:0.721097 (5.545464)
n:33 Y:0.584368 U:0.991556 V:0.981958 All:0.718498 (5.505182)
n:34 Y:0.584496 U:0.991603 V:0.982237 All:0.718638 (5.507340)
n:35 Y:0.592969 U:0.991334 V:0.981312 All:0.724087 (5.592275)
n:36 Y:0.584520 U:0.991721 V:0.981938 All:0.718623 (5.507114)
n:37 Y:0.587848 U:0.991395 V:0.981933 All:0.720786 (5.540636)
n:38 Y:0.584341 U:0.991199 V:0.981915 All:0.718413 (5.503871)
n:39 Y:0.594526 U:0.991146 V:0.981744 All:0.725166 (5.609296)
n:40 Y:0.581043 U:0.992102 V:0.982705 All:0.716497 (5.474420)
n:41 Y:0.596082 U:0.991494 V:0.981812 All:0.726272 (5.626815)
n:42 Y:0.597189 U:0.990985 V:0.981865 All:0.726935 (5.637335)
n:43 Y:0.712514 U:0.995137 V:0.982585 All:0.804630 (7.091418)
n:44 Y:0.713307 U:0.995108 V:0.983157 All:0.805249 (7.105192)
n:45 Y:0.723082 U:0.994911 V:0.990182 All:0.812903 (7.279337)
n:46 Y:0.718559 U:0.994957 V:0.989985 All:0.809863 (7.209332)
n:47 Y:0.717927 U:0.994956 V:0.989887 All:0.809425 (7.199349)
n:48 Y:0.682263 U:0.994736 V:0.981767 All:0.784259 (6.660680)
n:49 Y:0.714833 U:0.995073 V:0.982305 All:0.806118 (7.124628)
n:50 Y:0.714832 U:0.995083 V:0.982301 All:0.806119 (7.124647)
n:51 Y:0.745410 U:0.997457 V:0.987428 All:0.827754 (7.638507)
n:52 Y:0.745022 U:0.997441 V:0.987316 All:0.827474 (7.631460)
n:53 Y:0.745779 U:0.997451 V:0.987313 All:0.827980 (7.644207)
n:54 Y:0.838912 U:0.997728 V:0.985535 All:0.889819 (9.578918)
n:55 Y:0.839116 U:0.997696 V:0.985497 All:0.889943 (9.583820)
n:56 Y:0.810580 U:0.997672 V:0.984858 All:0.870808 (8.887658)
n:57 Y:0.808239 U:0.997661 V:0.984597 All:0.869202 (8.834004)
n:58 Y:0.807937 U:0.997658 V:0.984595 All:0.869000 (8.827283)
n:59 Y:0.807996 U:0.997658 V:0.984595 All:0.869040 (8.828608)
n:60 Y:0.807330 U:0.997656 V:0.984595 All:0.868596 (8.813899)
n:61 Y:0.800345 U:0.996377 V:0.984261 All:0.863670 (8.654075)
